severity,category,title,count,first_seen,last_seen,ips,users,mitre,rule_id
high,SQL Injection,SQL injection pattern in request path/query (2 event(s)),2,2025-07-03 10:00:14,2025-07-03 10:00:16,10.0.0.88,,T1190,SQLI-001
high,Path Traversal,Directory traversal attempt (1 event(s)),1,2025-07-03 10:00:12,2025-07-03 10:00:12,203.0.113.5,,T1190,TRAV-001
medium,Reconnaissance,Probing for sensitive files/endpoints (1 event(s)),1,2025-07-03 10:00:19,2025-07-03 10:00:19,172.16.0.20,,T1595,RECON-002
critical,Brute Force Attacks,SSH brute force from 10.0.0.50 SUCCEEDED (4 failures then login as 'admin'),5,2025-07-03 10:00:03,2025-07-03 10:00:07,10.0.0.50,admin,T1110/T1078,
critical,Brute Force Attacks,Login brute force from 10.0.0.50 SUCCEEDED (4 failures then a successful login),5,2025-07-03 10:00:03,2025-07-03 10:00:07,10.0.0.50,,T1110.001/T1078,
medium,Reconnaissance,SSH username enumeration from 203.0.113.5 (3 attempts on invalid accounts),3,2025-07-03 10:00:09,2025-07-03 10:00:11,203.0.113.5,root;test;ubuntu,T1589.001,
medium,Rate-Limit Abuse,Server throttled 10.0.0.99 with HTTP 429 (5 rapid requests to ['/api/users']),5,2025-07-03 10:00:23,2025-07-03 10:00:24,10.0.0.99,,T1498,
high,Reconnaissance,Vulnerability scan from 203.0.113.5 (4 admin/sensitive endpoints probed),4,2025-07-03 10:00:09,2025-07-03 10:00:12,203.0.113.5,,T1595.003,
high,Reconnaissance,Vulnerability scan from 172.16.0.20 (6 admin/sensitive endpoints probed),6,2025-07-03 10:00:18,2025-07-03 10:00:19,172.16.0.20,,T1595.003,
high,Credential Attacks,Sensitive sudo command by 'johndoe': /bin/cat /etc/shadow,1,2025-07-03 10:00:15,2025-07-03 10:00:15,,johndoe,T1003.008,
info,Data Quality,1 malformed / unparseable line(s),1,unknown,unknown,,,,
critical,Cross-File Correlation,Multi-stage attack from 203.0.113.5: Reconnaissance → Path Traversal,5,2025-07-03 10:00:09,2025-07-03 10:00:12,203.0.113.5,,multiple,
critical,Cross-File Correlation,Coordinated multi-service attack from 10.0.0.50 (Brute Force Attacks against 2 services),4,2025-07-03 10:00:03,2025-07-03 10:00:07,10.0.0.50,,multiple,
note,Analyst Observation,'Sensitive sudo command by 'johndoe': /bin/cat /etc/shadow' occurred 8s after a confirmed compromise from 10.0.0.50,2,unknown,unknown,,,,
note,Analyst Observation,Session inconsistency: 10.0.0.50:52345 closed '[preauth]' but the same port previously authenticated,2,2025-07-03 10:00:07,2025-07-03 10:00:25,10.0.0.50,admin,,
